"Star Name","RA (J2000.0)","Dec (J2000.0)","Constellation","Var. Type","Min Mag","Max Mag","Period (d)","Obs. Cadence (d)","Obs. Section","Filter/Mode","Last observed","High Priority","Notes"
"V902 Mon","06h 27m 46s","+1d 48m 11s","Mon","DQ+E","19.2 V","16.4 V","0.3400831","3.0","Alert/Campaign","V","Red: Last Observation January 20, 2026 4:29 AM UTC (3 months ago)","","BVRI; unfiltered (CV) also welcome
[[Alert Notice 601 https://www.aavso.org/aavso-alert-notice-601]]"
"V902 Mon","06h 27m 46s","+1d 48m 11s","Mon","DQ+E","19.2 V","16.4 V","0.3400831","3.0","Alert/Campaign","B","Red: No Observation Data","","BVRI; unfiltered (CV) also welcome
[[Alert Notice 601 https://www.aavso.org/aavso-alert-notice-601]]"
"V902 Mon","06h 27m 46s","+1d 48m 11s","Mon","DQ+E","19.2 V","16.4 V","0.3400831","3.0","Alert/Campaign","R","Red: Last Observation January 20, 2026 12:21 AM UTC (3 months ago)","","BVRI; unfiltered (CV) also welcome
[[Alert Notice 601 https://www.aavso.org/aavso-alert-notice-601]]"
"V902 Mon","06h 27m 46s","+1d 48m 11s","Mon","DQ+E","19.2 V","16.4 V","0.3400831","3.0","Alert/Campaign","I","Red: Last Observation October 26, 2017 6:06 PM UTC (8 years ago)","","BVRI; unfiltered (CV) also welcome
[[Alert Notice 601 https://www.aavso.org/aavso-alert-notice-601]]"
"CE Tau","05h 32m 12s","+18d 35m 39s","Tau","SRC","4.63 V","4.22 V","None","3.0","Alert/Campaign","B","Red: Last Observation March 14, 2026 5:38 AM UTC (1 month ago)","","campaign is concluded but observations welcome
DSLR TB/TG/TR requested primarily, BVR welcome
[[Alert Notice 602 https://www.aavso.org/aavso-alert-notice-602]]"
"CE Tau","05h 32m 12s","+18d 35m 39s","Tau","SRC","4.63 V","4.22 V","None","3.0","Alert/Campaign, HET","V","Red: Last Observation March 14, 2026 5:34 AM UTC (1 month ago)","","campaign is concluded but observations still welcome
DSLR TB/TG/TR requested primarily, BVR welcome
[[Alert Notice 602 https://www.aavso.org/aavso-alert-notice-602]]
SNEWS candidate"
"CE Tau","05h 32m 12s","+18d 35m 39s","Tau","SRC","4.63 V","4.22 V","None","3.0","Alert/Campaign","R","Red: Last Observation January 11, 2026 8:34 PM UTC (3 months ago)","","campaign is concluded but observations still welcome
DSLR TB/TG/TR requested primarily, BVR welcome
[[Alert Notice 602 https://www.aavso.org/aavso-alert-notice-602]]"
"V960 Tau","05h 33m 31s","+18d 32m 24s","Tau","GCAS","5.72 V","5.43 V","None","3.0","Alert/Campaign","B","Red: Last Observation March 14, 2026 5:38 AM UTC (1 month ago)","High Priority","DSLR TB/TG/TR requested primarily, BVR welcome
[[Alert Notice 602 https://www.aavso.org/aavso-alert-notice-602]]"
"V960 Tau","05h 33m 31s","+18d 32m 24s","Tau","GCAS","5.72 V","5.43 V","None","3.0","Alert/Campaign","V","Red: Last Observation March 14, 2026 5:34 AM UTC (1 month ago)","High Priority","DSLR TB/TG/TR requested primarily, BVR welcome
[[Alert Notice 602 https://www.aavso.org/aavso-alert-notice-602]]"
"V960 Tau","05h 33m 31s","+18d 32m 24s","Tau","GCAS","5.72 V","5.43 V","None","3.0","Alert/Campaign","R","Red: Last Observation February 27, 2025 7:45 PM UTC (1 year ago)","High Priority","DSLR TB/TG/TR requested primarily, BVR welcome
[[Alert Notice 602 https://www.aavso.org/aavso-alert-notice-602]]"
"PNV J17184504-2454221","17h 18m 45s","-24d 54m 22s","Oph","NA","None V","9.3 V","None","3.0","Alert/Campaign","B","Red: Last Observation November 16, 2017 11:44 PM UTC (8 years ago)","","Nova Oph 2017 = V3664 Oph
[[Alert Notice 605 https://www.aavso.org/aavso-alert-notice-605]]
please observe if possible despite proximity to Sun"
"PNV J17184504-2454221","17h 18m 45s","-24d 54m 22s","Oph","NA","None V","9.3 V","None","3.0","Alert/Campaign","V","Red: Last Observation November 16, 2017 11:45 PM UTC (8 years ago)","","Nova Oph 2017 = V3664 Oph
[[Alert Notice 605 https://www.aavso.org/aavso-alert-notice-605]]
please observe if possible despite proximity to Sun"
"PNV J17184504-2454221","17h 18m 45s","-24d 54m 22s","Oph","NA","None V","9.3 V","None","3.0","Alert/Campaign","I","Red: Last Observation November 16, 2017 11:46 PM UTC (8 years ago)","","Nova Oph 2017 = V3664 Oph
[[Alert Notice 605 https://www.aavso.org/aavso-alert-notice-605]]
please observe if possible despite proximity to Sun"
"PNV J17184504-2454221","17h 18m 45s","-24d 54m 22s","Oph","NA","None V","9.3 V","None","3.0","Alert/Campaign","Visual","Red: Last Observation March 13, 2018 3:49 AM UTC (8 years ago)","","Nova Oph 2017 = V3664 Oph
[[Alert Notice 605 https://www.aavso.org/aavso-alert-notice-605]]
please observe if possible despite proximity to Sun"
"ASASSN-17mt","08h 50m 29s","-47d 45m 28s","Vel","NA","17.5 V","9.1 V","0.40319","3.0","Alert/Campaign","V","Red: Last Observation October 21, 2020 2:24 AM UTC (5 years ago)","","V549 Vel = Nova Vel 2017
[[Alert Notice 606 https://www.aavso.org/aavso-alert-notice-606]]"
"ASASSN-17mt","08h 50m 29s","-47d 45m 28s","Vel","NA","17.5 V","9.1 V","0.40319","3.0","Alert/Campaign","I","Red: Last Observation October 21, 2020 2:24 AM UTC (5 years ago)","","V549 Vel = Nova Vel 2017
[[Alert Notice 606 https://www.aavso.org/aavso-alert-notice-606]]"
"ASASSN-17mt","08h 50m 29s","-47d 45m 28s","Vel","NA","17.5 V","9.1 V","0.40319","3.0","Alert/Campaign","Visual","Red: Last Observation January 28, 2026 1:49 PM UTC (2 months ago)","","V549 Vel = Nova Vel 2017
[[Alert Notice 606 https://www.aavso.org/aavso-alert-notice-606]]"
"ST Tri","02h 41m 32s","+35d 43m 31s","Tri","EB","15.2 p","14.3 p","0.47905145","1.0","EB","All","Black: Near Solar Conjunction","High Priority","[[Ephemeris info https://www.aavso.org/vsx/index.php?view=detail.ephemeris&amp;nolayout=1&amp;oid=36613]]"
"MASTER OT J132104.04+560957.8","13h 21m 04s","+56d 09m 57s","UMa","AM","20.0 V","16.1 V","0.06323501","3.0","Alert/Campaign","V","Red: Last Observation April 14, 2020 11:31 PM UTC (6 years ago)","","V or CV; V preferred.
[[Alert Notice 607 https://www.aavso.org/aavso-alert-notice-607]]"
"TT Ari","02h 06m 53s","+15d 17m 41s","Ari","NL/VY","16.5 V","10.2 V","0.137551","3.0","Alert/Campaign","V","Black: Near Solar Conjunction","","V, then U, then other bands. Visual also welcome.
[[Alert Notice 608 https://www.aavso.org/aavso-alert-notice-608]]"
"TT Ari","02h 06m 53s","+15d 17m 41s","Ari","NL/VY","16.5 V","10.2 V","0.137551","3.0","Alert/Campaign","U","Black: Near Solar Conjunction","","V, then U, then other bands. Visual also welcome.
[[Alert Notice 608 https://www.aavso.org/aavso-alert-notice-608]]"
"TT Ari","02h 06m 53s","+15d 17m 41s","Ari","NL/VY","16.5 V","10.2 V","0.137551","3.0","Alert/Campaign","Visual","Black: Near Solar Conjunction","","V, then U, then other bands. Visual also welcome.
[[Alert Notice 608 https://www.aavso.org/aavso-alert-notice-608]]"
"AK Cep","22h 28m 50s","+58d 12m 39s","Cep","DCEP","11.52 V","10.86 V","7.23268","0.723268","SPP","All","Red: Last Observation December 22, 2025 3:00 AM UTC (4 months ago)","","[[Ephemeris info https://www.aavso.org/vsx/index.php?view=detail.ephemeris&amp;nolayout=1&amp;oid=8416]]"
"BT Mon","06h 43m 47s","-2d 01m 13s","Mon","NA+EA","16.4 V","None p","0.33381322","1.0","CV","All","Red: Last Observation March 10, 2026 12:27 AM UTC (1 month ago)","","[[Ephemeris info https://www.aavso.org/vsx/index.php?view=detail.ephemeris&amp;nolayout=1&amp;oid=18925]]"
"BW Cyg","20h 34m 23s","+58d 45m 53s","Cyg","SRB","15.7 p","13.0 p","171.0","1.0","LPV","All","Red: Last Observation December 16, 2025 8:06 PM UTC (4 months ago)","",""
"QU Car","11h 05m 42s","-68d 37m 58s","Car","NL/V:","11.7 V","10.9 V","None","1.0","CV","All","Red: Last Observation April 24, 2026 12:40 PM UTC (3 days ago)","",""
"SU Tau","05h 49m 03s","+19d 04m 21s","Tau","RCB","18.0 V","9.1 V","44.68","1.0","Misc","All","Red: Last Observation April 19, 2026 7:48 PM UTC (1 week ago)","","[[Ephemeris info https://www.aavso.org/vsx/index.php?view=detail.ephemeris&amp;nolayout=1&amp;oid=35038]]"
"V2493 Cyg","20h 58m 17s","+43d 53m 43s","Cyg","FUOR","18.9 V","13.77 V","None","1.0","Misc","All","Red: Last Observation March 27, 2026 3:38 AM UTC (1 month ago)","",""
"V0348 Sgr","18h 40m 19s","-22d 54m 29s","Sgr","RCB","None V","11.2 V","None","1.0","Misc","All","Red: Last Observation April 22, 2026 10:06 AM UTC (5 days ago)","",""
"PNV J11261220-6531086","11h 26m 15s","-65d 31m 23s","Mus","NA","18.0 V","6.5 V","None","3.0","Alert/Campaign","V","Red: Last Observation August 5, 2020 9:00 AM UTC (5 years ago)","","Nova Mus 2018
[[Alert Notice 609 https://sww.aavso.org/aavso-alert-notice-609]]"
"PNV J11261220-6531086","11h 26m 15s","-65d 31m 23s","Mus","NA","18.0 V","6.5 V","None","3.0","Alert/Campaign","B","Red: Last Observation August 5, 2020 8:56 AM UTC (5 years ago)","","Nova Mus 2018
[[Alert Notice 609 https://sww.aavso.org/aavso-alert-notice-609]]"
"PNV J11261220-6531086","11h 26m 15s","-65d 31m 23s","Mus","NA","18.0 V","6.5 V","None","3.0","Alert/Campaign","I","Red: Last Observation August 5, 2020 9:05 AM UTC (5 years ago)","","Cousins I
Nova Mus 2018
[[Alert Notice 609 https://sww.aavso.org/aavso-alert-notice-609]]"
"b Per","04h 18m 14s","+50d 17m 43s","Per","EA+ELL","5.0 V","4.57 V","704.48","3.0","Alert/Campaign","V","Red: Last Observation December 18, 2025 3:46 AM UTC (4 months ago)","","V or DSLR green
not beta Per
not active - [[Alert Notice 840 https://www.aavso.org/aavso-alert-notice-840]]
not active - [[Alert Notice 791 https://www.aavso.org/aavso-alert-notice-791]]
not active - [[Alert Notice 761 https://www.aavso.org/aavso-alert-notice-761]]
not active - [[Alert Notice 721 https://www.aavso.org/aavso-alert-notice-721]]
not active - [[Alert Notice 688 https://www.aavso.org/aavso-alert-notice-688]]
not active - [[Alert Notice 655 https://www.aavso.org/aavso-alert-notice-655]]
not active - [[Alert Notice 610 https://www.aavso.org/aavso-alert-notice-610]]"
"3C 279","12h 56m 11s","-5d 47m 21s","Vir","QSO","18.0 V","13.0 V","None","3.0","Alert/Campaign","V","Red: Last Observation April 18, 2026 12:25 AM UTC (1 week ago)","","other bands also welcome
[[Alert Notice 611 https://www.aavso.org/aavso-alert-notice-611]]"
"Nova Sco 2018","17h 18m 06s","-32d 04m 27s","Sco","NA","20.6 G","10.7 V","None","3.0","Alert/Campaign","V","Red: Last Observation March 9, 2018 4:51 PM UTC (8 years ago)","","[[Alert Notice 612 https://www.aavso.org/aavso-alert-notice-612]]"
"Nova Sco 2018","17h 18m 06s","-32d 04m 27s","Sco","NA","20.6 G","10.7 V","None","3.0","Alert/Campaign","B","Red: Last Observation March 5, 2018 5:50 PM UTC (8 years ago)","","[[Alert Notice 612 https://www.aavso.org/aavso-alert-notice-612]]"
"Nova Sco 2018","17h 18m 06s","-32d 04m 27s","Sco","NA","20.6 G","10.7 V","None","3.0","Alert/Campaign","I","Red: Last Observation March 5, 2018 6:05 PM UTC (8 years ago)","","[[Alert Notice 612 https://www.aavso.org/aavso-alert-notice-612]]"
"Nova Sco 2018","17h 18m 06s","-32d 04m 27s","Sco","NA","20.6 G","10.7 V","None","3.0","Alert/Campaign","Visual","Red: Last Observation June 9, 2018 5:24 AM UTC (7 years ago)","","[[Alert Notice 612 https://www.aavso.org/aavso-alert-notice-612]]"
"Nova Cir 2018","13h 53m 27s","-67d 25m 00s","Cir","NA","17.3 G","5.8 V","3.4898","3.0","Alert/Campaign","V","Red: Last Observation April 17, 2022 9:33 PM UTC (4 years ago)","","[[Alert Notice 613 https://www.aavso.org/aavso-alert-notice-613]]"
"Nova Cir 2018","13h 53m 27s","-67d 25m 00s","Cir","NA","17.3 G","5.8 V","3.4898","3.0","Alert/Campaign","B","Red: Last Observation August 5, 2020 9:09 AM UTC (5 years ago)","","[[Alert Notice 613 https://www.aavso.org/aavso-alert-notice-613]]"
"Nova Cir 2018","13h 53m 27s","-67d 25m 00s","Cir","NA","17.3 G","5.8 V","3.4898","3.0","Alert/Campaign","I","Red: Last Observation August 5, 2020 9:12 AM UTC (5 years ago)","","[[Alert Notice 613 https://www.aavso.org/aavso-alert-notice-613]]"
"Nova Cir 2018","13h 53m 27s","-67d 25m 00s","Cir","NA","17.3 G","5.8 V","3.4898","3.0","Alert/Campaign","Visual","Red: Last Observation July 27, 2022 11:19 AM UTC (3 years ago)","","[[Alert Notice 613 https://www.aavso.org/aavso-alert-notice-613]]"
"Nova Cir 2018","13h 53m 27s","-67d 25m 00s","Cir","NA","17.3 G","5.8 V","3.4898","3.0","None","All","Red: Last Observation July 27, 2022 11:19 AM UTC (3 years ago)","",""
"Nova Sco 2018","17h 18m 06s","-32d 04m 27s","Sco","NA","20.6 G","10.7 V","None","3.0","Alert/Campaign","R","Red: Last Observation March 8, 2018 4:49 PM UTC (8 years ago)","High Priority","[[Alert Notice 612 https://www.aavso.org/aavso-alert-notice-612]]"
"Nova Cir 2018","13h 53m 27s","-67d 25m 00s","Cir","NA","17.3 G","5.8 V","3.4898","3.0","Alert/Campaign","R","Red: Last Observation August 5, 2020 9:11 AM UTC (5 years ago)","","[[Alert Notice 613 https://www.aavso.org/aavso-alert-notice-613]]"
"GW Lib","15h 19m 55s","-25d 00m 25s","Lib","UGWZ+ZZ/GWLIB","17.5 V","8.2 V","0.05332","3.0","Alert/Campaign","V","Red: Last Observation January 30, 2025 5:06 PM UTC (1 year ago)","","[[Alert Notice 614 https://www.aavso.org/aavso-alert-notice-614]]"
"GW Lib","15h 19m 55s","-25d 00m 25s","Lib","UGWZ+ZZ/GWLIB","17.5 V","8.2 V","0.05332","3.0","Alert/Campaign","B","Red: Last Observation September 13, 2017 8:46 AM UTC (8 years ago)","","[[Alert Notice 614 https://www.aavso.org/aavso-alert-notice-614]]"
"GW Lib","15h 19m 55s","-25d 00m 25s","Lib","UGWZ+ZZ/GWLIB","17.5 V","8.2 V","0.05332","3.0","Alert/Campaign","R","Red: Last Observation August 8, 2017 10:19 AM UTC (8 years ago)","","Rc
[[Alert Notice 614 https://www.aavso.org/aavso-alert-notice-614]]"
"GW Lib","15h 19m 55s","-25d 00m 25s","Lib","UGWZ+ZZ/GWLIB","17.5 V","8.2 V","0.05332","3.0","Alert/Campaign","I","Red: Last Observation August 8, 2017 10:22 AM UTC (8 years ago)","","Ic
[[Alert Notice 614 https://www.aavso.org/aavso-alert-notice-614]]"
"GW Lib","15h 19m 55s","-25d 00m 25s","Lib","UGWZ+ZZ/GWLIB","17.5 V","8.2 V","0.05332","3.0","Alert/Campaign","Visual","Red: Last Observation January 26, 2026 4:03 PM UTC (3 months ago)","","[[Alert Notice 614 https://www.aavso.org/aavso-alert-notice-614]]"
"ASASSN-18ca","00h 42m 34s","+40d 44m 26s","And","N","22.0 V","16.4 V","None","3.0","Alert/Campaign","V","Red: Last Observation January 4, 2020 8:06 PM UTC (6 years ago)","","PNV J00423439+4044255
[[Alert Notice 615 https://www.aavso.org/aavso-alert-notice-615]]"
"ASASSN-18ca","00h 42m 34s","+40d 44m 26s","And","N","22.0 V","16.4 V","None","3.0","Alert/Campaign","B","Red: Last Observation February 13, 2018 6:54 PM UTC (8 years ago)","","PNV J00423439+4044255
[[Alert Notice 615 https://www.aavso.org/aavso-alert-notice-615]]"
"ASASSN-18ca","00h 42m 34s","+40d 44m 26s","And","N","22.0 V","16.4 V","None","3.0","Alert/Campaign","I","Red: Last Observation February 13, 2018 7:05 PM UTC (8 years ago)","","PNV J00423439+4044255
[[Alert Notice 615 https://www.aavso.org/aavso-alert-notice-615]]"
"Nova Sco 2018 No. 2","16h 48m 49s","-44d 57m 03s","Sco","NA","17.0 V","9.8 V","None","3.0","Alert/Campaign","V","Red: Last Observation June 3, 2018 3:32 PM UTC (7 years ago)","","[[Alert Notice 616 https://www.aavso.org/aavso-alert-notice-616]]"
"Nova Sco 2018 No. 2","16h 48m 49s","-44d 57m 03s","Sco","NA","17.0 V","9.8 V","None","3.0","Alert/Campaign","B","Red: Last Observation April 10, 2018 3:19 PM UTC (8 years ago)","","[[Alert Notice 616 https://www.aavso.org/aavso-alert-notice-616]]"
"Nova Sco 2018 No. 2","16h 48m 49s","-44d 57m 03s","Sco","NA","17.0 V","9.8 V","None","3.0","Alert/Campaign","R","Red: Last Observation March 11, 2018 5:34 PM UTC (8 years ago)","","Rc
[[Alert Notice 616 https://www.aavso.org/aavso-alert-notice-616]]"
"Nova Sco 2018 No. 2","16h 48m 49s","-44d 57m 03s","Sco","NA","17.0 V","9.8 V","None","3.0","Alert/Campaign","I","Red: Last Observation June 3, 2018 3:35 PM UTC (7 years ago)","","Ic
[[Alert Notice 616 https://www.aavso.org/aavso-alert-notice-616]]"
"Nova Sco 2018 No. 2","16h 48m 49s","-44d 57m 03s","Sco","NA","17.0 V","9.8 V","None","3.0","Alert/Campaign","Vis","Red: Last Observation June 9, 2018 5:30 AM UTC (7 years ago)","","[[Alert Notice 616 https://www.aavso.org/aavso-alert-notice-616]]"
"YZ Cnc","08h 10m 56s","+28d 08m 33s","Cnc","UGSU","16.3 V","10.5 V","0.0868","3.0","None","All","Red: Last Observation April 23, 2026 7:17 PM UTC (4 days ago)","",""
"YZ Cnc","08h 10m 56s","+28d 08m 33s","Cnc","UGSU","16.3 V","10.5 V","0.0868","3.0","Alert/Campaign","B","Red: Last Observation April 18, 2026 2:20 AM UTC (1 week ago)","","Johnson/Cousins filters
[[Alert Notice 617 https://www.aavso.org/aavso-alert-notice-617]]"
"YZ Cnc","08h 10m 56s","+28d 08m 33s","Cnc","UGSU","16.3 V","10.5 V","0.0868","3.0","Alert/Campaign","V","Red: Last Observation April 22, 2026 8:29 PM UTC (5 days ago)","","Johnson/Cousins filters
[[Alert Notice 617 https://www.aavso.org/aavso-alert-notice-617]]"
"YZ Cnc","08h 10m 56s","+28d 08m 33s","Cnc","UGSU","16.3 V","10.5 V","0.0868","3.0","Alert/Campaign","R","Red: Last Observation April 18, 2026 2:26 AM UTC (1 week ago)","","Johnson/Cousins filters
[[Alert Notice 617 https://www.aavso.org/aavso-alert-notice-617]]"
"YZ Cnc","08h 10m 56s","+28d 08m 33s","Cnc","UGSU","16.3 V","10.5 V","0.0868","3.0","Alert/Campaign","I","Red: Last Observation April 18, 2026 2:24 AM UTC (1 week ago)","","Johnson/Cousins filters
[[Alert Notice 617 https://www.aavso.org/aavso-alert-notice-617]]"
"YZ Cnc","08h 10m 56s","+28d 08m 33s","Cnc","UGSU","16.3 V","10.5 V","0.0868","3.0","Alert/Campaign","U","Red: Last Observation March 24, 2017 4:07 AM UTC (9 years ago)","","Johnson/Cousins filters
[[Alert Notice 617 https://www.aavso.org/aavso-alert-notice-617]]"
"YZ Cnc","08h 10m 56s","+28d 08m 33s","Cnc","UGSU","16.3 V","10.5 V","0.0868","3.0","Alert/Campaign","J","Red: No Observation Data","","Johnson/Cousins filters
[[Alert Notice 617 https://www.aavso.org/aavso-alert-notice-617]]"
"YZ Cnc","08h 10m 56s","+28d 08m 33s","Cnc","UGSU","16.3 V","10.5 V","0.0868","3.0","Alert/Campaign","H","Red: No Observation Data","","Johnson/Cousins filters
[[Alert Notice 617 https://www.aavso.org/aavso-alert-notice-617]]"
"YZ Cnc","08h 10m 56s","+28d 08m 33s","Cnc","UGSU","16.3 V","10.5 V","0.0868","3.0","Alert/Campaign","Visual","Red: Last Observation April 23, 2026 7:17 PM UTC (4 days ago)","","Johnson/Cousins filters
[[Alert Notice 617 https://www.aavso.org/aavso-alert-notice-617]]"
"SU UMa","08h 12m 28s","+62d 36m 22s","UMa","UGSU","16.0 V","10.8 V","0.0763754","3.0","Alert/Campaign","B","Red: Last Observation April 11, 2026 4:43 AM UTC (2 weeks ago)","","Johnson/Cousins filters
[[Alert Notice 617 https://www.aavso.org/aavso-alert-notice-617]]"
"SU UMa","08h 12m 28s","+62d 36m 22s","UMa","UGSU","16.0 V","10.8 V","0.0763754","3.0","Alert/Campaign","V","Red: Last Observation April 23, 2026 8:32 PM UTC (4 days ago)","","Johnson/Cousins filters
[[Alert Notice 617 https://www.aavso.org/aavso-alert-notice-617]]"
"SU UMa","08h 12m 28s","+62d 36m 22s","UMa","UGSU","16.0 V","10.8 V","0.0763754","3.0","Alert/Campaign","R","Red: Last Observation April 11, 2026 4:44 AM UTC (2 weeks ago)","","Johnson/Cousins filters
[[Alert Notice 617 https://www.aavso.org/aavso-alert-notice-617]]"
"SU UMa","08h 12m 28s","+62d 36m 22s","UMa","UGSU","16.0 V","10.8 V","0.0763754","3.0","Alert/Campaign","I","Red: Last Observation April 11, 2026 4:45 AM UTC (2 weeks ago)","","Johnson/Cousins filters
[[Alert Notice 617 https://www.aavso.org/aavso-alert-notice-617]]"
"SU UMa","08h 12m 28s","+62d 36m 22s","UMa","UGSU","16.0 V","10.8 V","0.0763754","3.0","Alert/Campaign","U","Red: No Observation Data","","Johnson/Cousins filters
[[Alert Notice 617 https://www.aavso.org/aavso-alert-notice-617]]"
"SU UMa","08h 12m 28s","+62d 36m 22s","UMa","UGSU","16.0 V","10.8 V","0.0763754","3.0","Alert/Campaign","J","Red: No Observation Data","","Johnson/Cousins filters
[[Alert Notice 617 https://www.aavso.org/aavso-alert-notice-617]]"
"SU UMa","08h 12m 28s","+62d 36m 22s","UMa","UGSU","16.0 V","10.8 V","0.0763754","3.0","Alert/Campaign","H","Red: No Observation Data","","Johnson/Cousins filters
[[Alert Notice 617 https://www.aavso.org/aavso-alert-notice-617]]"
"SU UMa","08h 12m 28s","+62d 36m 22s","UMa","UGSU","16.0 V","10.8 V","0.0763754","3.0","Alert/Campaign","Visual","Red: Last Observation April 24, 2026 9:02 PM UTC (3 days ago)","","Johnson/Cousins filters
[[Alert Notice 617 https://www.aavso.org/aavso-alert-notice-617]]"
"CR Boo","13h 48m 55s","+7d 57m 35s","Boo","UGSU/IBWD+UGZ","17.7 V","13.0 V","0.017029","3.0","Alert/Campaign","B","Red: Last Observation April 19, 2026 9:03 PM UTC (1 week ago)","","Johnson/Cousins filters
[[Alert Notice 617 https://www.aavso.org/aavso-alert-notice-617]]"
"CR Boo","13h 48m 55s","+7d 57m 35s","Boo","UGSU/IBWD+UGZ","17.7 V","13.0 V","0.017029","3.0","Alert/Campaign","V","Red: Last Observation April 19, 2026 9:06 PM UTC (1 week ago)","","Johnson/Cousins filters
[[Alert Notice 617 https://www.aavso.org/aavso-alert-notice-617]]"
"CR Boo","13h 48m 55s","+7d 57m 35s","Boo","UGSU/IBWD+UGZ","17.7 V","13.0 V","0.017029","3.0","Alert/Campaign","R","Red: Last Observation April 19, 2026 9:04 PM UTC (1 week ago)","","Johnson/Cousins filters
[[Alert Notice 617 https://www.aavso.org/aavso-alert-notice-617]]"
"CR Boo","13h 48m 55s","+7d 57m 35s","Boo","UGSU/IBWD+UGZ","17.7 V","13.0 V","0.017029","3.0","Alert/Campaign","I","Red: Last Observation July 28, 2024 5:03 AM UTC (1 year ago)","","Johnson/Cousins filters
[[Alert Notice 617 https://www.aavso.org/aavso-alert-notice-617]]"
"CR Boo","13h 48m 55s","+7d 57m 35s","Boo","UGSU/IBWD+UGZ","17.7 V","13.0 V","0.017029","3.0","Alert/Campaign","U","Red: No Observation Data","","Johnson/Cousins filters
[[Alert Notice 617 https://www.aavso.org/aavso-alert-notice-617]]"
"CR Boo","13h 48m 55s","+7d 57m 35s","Boo","UGSU/IBWD+UGZ","17.7 V","13.0 V","0.017029","3.0","Alert/Campaign","J","Red: No Observation Data","","Johnson/Cousins filters
[[Alert Notice 617 https://www.aavso.org/aavso-alert-notice-617]]"
"CR Boo","13h 48m 55s","+7d 57m 35s","Boo","UGSU/IBWD+UGZ","17.7 V","13.0 V","0.017029","3.0","Alert/Campaign","H","Red: No Observation Data","","Johnson/Cousins filters
[[Alert Notice 617 https://www.aavso.org/aavso-alert-notice-617]]"
"CR Boo","13h 48m 55s","+7d 57m 35s","Boo","UGSU/IBWD+UGZ","17.7 V","13.0 V","0.017029","3.0","Alert/Campaign","Visual","Orange: Last Observation April 24, 2026 9:56 PM UTC (2 days ago)","","Johnson/Cousins filters
[[Alert Notice 617 https://www.aavso.org/aavso-alert-notice-617]]"
"SDSS J153817.35+512338.0","15h 38m 17s","+51d 23m 38s","Boo","AM","19.1 CV","17.5 CV","0.06466","3.0","Alert/Campaign","V","Red: Last Observation April 14, 2020 10:52 PM UTC (6 years ago)","","V or CV (unfiltered and reduced to a V zeropoint)
[[Alert Notice 628 https://www.aavso.org/aavso-alert-notice-628]]
[[Alert Notice 618 https://www.aavso.org/aavso-alert-notice-618]]"
"PNV J17244011-2421463","17h 24m 39s","-24d 21m 47s","Oph","NB","16.7 V","12.8 V","None","3.0","Alert/Campaign","V","Red: Last Observation June 21, 2019 10:43 PM UTC (6 years ago)","","Nova Oph 2018
[[Alert Notice 619 https://www.aavso.org/aavso-alert-notice-619]]"
"Nova LMC 1996","05h 13m 32s","-68d 38m 00s","Dor","NR+E","None V","11.0 V","2.84995","3.0","Alert/Campaign","V","Red: Last Observation March 24, 2018 12:18 PM UTC (8 years ago)","","Nova LMC 1996 = OGLE-2018-NOVA-01
Nightly snapshot or time series - see Alert Notice
[[Alert Notice 620 https://www.aavso.org/aavso-alert-notice-620]]"
"Nova LMC 1996","05h 13m 32s","-68d 38m 00s","Dor","NR+E","None V","11.0 V","2.84995","3.0","Alert/Campaign","B","Red: Last Observation March 20, 2018 10:44 AM UTC (8 years ago)","","Nova LMC 1996 = OGLE-2018-NOVA-01
Nightly snapshot or time series - see Alert Notice
[[Alert Notice 620 https://www.aavso.org/aavso-alert-notice-620]]"
"Nova LMC 1996","05h 13m 32s","-68d 38m 00s","Dor","NR+E","None V","11.0 V","2.84995","3.0","Alert/Campaign","R","Red: Last Observation March 20, 2018 10:56 AM UTC (8 years ago)","","Nova LMC 1996 = OGLE-2018-NOVA-01
Nightly snapshot or time series - see Alert Notice
[[Alert Notice 620 https://www.aavso.org/aavso-alert-notice-620]]"
"Nova LMC 1996","05h 13m 32s","-68d 38m 00s","Dor","NR+E","None V","11.0 V","2.84995","3.0","Alert/Campaign","I","Red: Last Observation March 10, 2018 10:26 AM UTC (8 years ago)","","Nova LMC 1996 = OGLE-2018-NOVA-01
Nightly snapshot or time series - see Alert Notice
[[Alert Notice 620 https://www.aavso.org/aavso-alert-notice-620]]"
"OGLE-2018-NOVA-01","05h 13m 32s","-68d 38m 00s","Dor","NR+E","None V","11.0 V","2.84995","3.0","Alert/Campaign","V","Red: Last Observation March 24, 2018 12:18 PM UTC (8 years ago)","","OGLE-2018-NOVA-01 = Nova LMC 1996
Nightly snapshot or time series - see Alert Notice
[[Alert Notice 620 https://www.aavso.org/aavso-alert-notice-620]]"
"OGLE-2018-NOVA-01","05h 13m 32s","-68d 38m 00s","Dor","NR+E","None V","11.0 V","2.84995","3.0","Alert/Campaign","B","Red: Last Observation March 20, 2018 10:44 AM UTC (8 years ago)","","OGLE-2018-NOVA-01 = Nova LMC 1996
Nightly snapshot or time series - see Alert Notice
[[Alert Notice 620 https://www.aavso.org/aavso-alert-notice-620]]"
