"Star Name","RA (J2000.0)","Dec (J2000.0)","Var. Type","Min Mag","Max Mag","Period (d)","High Priority","Categories"
"KS Peg","23h 37m 56.8s","+18d 24m 2.4s","EB/KE","5.5 V","5.4 V","0.50210292","","type_ea"
"ksi Cyg","21h 04m 55.9s","+43d 55m 40.2s","LC","3.8 V","3.7 V","","yes","type_lc"
"KZ Cam","03h 38m 19.7s","+56d 55m 57.8s","ACV","6.3 V","6.3 V","2.9749","","type_cv"
"KZ Cep","22h 56m 30.9s","+62d 52m 7.0s","BCEP","7.8 V","7.7 V","0.24544","","type_cep"
"lam And","23h 37m 33.8s","+46d 27m 29.4s","RS","4.0 V","3.6 V","53.95","","mid_period"
"lam Dra","11h 31m 24.2s","+69d 19m 51.9s","SR","3.9 V","3.8 V","","yes","type_m"
"LANNING 302","03h 32m 7.7s","+54d 35m 31.0s","N:","14.0 V","14.0 V","","","type_na"
"LL Dra","12h 29m 37.4s","+68d 38m 7.7s","SR","9.5 V","9.4 V","","","type_m"
"LP Cam","04h 09m 40.4s","+62d 27m 11.6s","RRAB","11.8 V","11.1 V","0.57203","","type_rr"
"LZ Cep","22h 02m 4.6s","+58d 00m 1.3s","ELL","5.7 V","5.6 V","3.07038","","type_ea"
"MO Cep","22h 03m 53.0s","+63d 07m 11.7s","LB","5.3 V","5.1 V","","","type_lc"
"MU Cep","22h 23m 38.6s","+57d 40m 51.1s","DCEP","12.6 V","11.9 V","3.76782","yes","famous|mid_period"
"mu. Cep","21h 43m 30.5s","+58d 46m 48.1s","SRC","5.1 V","3.4 V","835","yes","long_period"
"MV Cam","08h 19m 47.2s","+77d 44m 32.1s","SRA","9.6 V","9.1 V","56","","type_m"
"NEV121","09h 48m 49.0s","+76d 18m 25.4s","RRC","13.3 V","12.8 V","0.2859504","","type_rr"
"NEV360","13h 41m 44.5s","+74d 19m 13.7s","EA","9.9 V","9.7 V","7.19898","","type_ea"
"NEV392","15h 19m 54.7s","+69d 25m 0.6s","EA+BY","10.6 V","10.5 V","8.26139","","type_ea"
"NEV84","09h 25m 7.3s","+71d 16m 49.3s","RRAB","13.8 V","13.0 V","0.769497","","type_rr"
"NO Aur","05h 40m 42.1s","+31d 55m 14.2s","SRC","6.5 V","6.0 V","102.1","","type_src"
"NSV 10749","18h 21m 3.4s","+72d 43m 58.3s","ROT:","3.6 V","3.6 V","","yes",""
"NSV 14130","22h 21m 1.6s","+46d 32m 11.7s","SPB","4.6 V","4.5 V","1.3082","","mid_period"
"NSV 14549","23h 24m 50.3s","+62d 16m 58.1s","LB","5.0 V","4.9 V","","","type_lc"
"NSV 1477","04h 16m 22.4s","+82d 27m 46.6s","SR","10.0 V","9.7 V","260.3","","type_m"
"NSV 15448","02h 12m 50.0s","+79d 41m 29.0s","DSCTC:","6.5 V","6.4 V","0.2133","","short_period"
"NSV 15564","02h 44m 49.7s","+67d 49m 28.7s","ELL","6.0 V","5.9 V","2.53638","","type_ea"
"NSV 15625","03h 06m 7.8s","+79d 25m 6.7s","LB","5.5 V","5.5 V","","","type_lc"
"NSV 15721","03h 37m 44.1s","+56d 44m 21.8s","SPB:","6.5 V","6.5 V","0.76205","","short_period"
"NSV 15881","04h 06m 3.2s","+68d 40m 48.0s","VAR","5.9 V","5.9 V","358.42294","","long_period"
"NSV 15899","04h 07m 44.1s","+62d 18m 4.0s","BCEP","9.6 V","9.6 V","0.09611475","","type_cep"
"NSV 16032","04h 31m 15.5s","+58d 45m 8.0s","N:","8.5 V","8.5 V","","","type_na"
"NSV 16174","04h 52m 5.2s","+63d 30m 19.4s","VAR","5.5 V","5.5 V","0.08778","","short_period"
"NSV 16208","05h 02m 19.8s","+74d 16m 9.8s","VAR","6.1 V","6.0 V","2.17372","","mid_period"
"NSV 16288","05h 24m 59.4s","+73d 42m 25.9s","VAR","6.5 V","6.5 V","383.14176","","long_period"
"NSV 16615","05h 43m 0.0s","+73d 59m 9.0s","PULS","6.8 V","6.8 V","0.088","","short_period"
"NSV 16837","06h 21m 4.5s","+13d 54m 28.5s","SRC","11.5 V","9.5 V","594","","type_src"
"NSV 18324","10h 05m 0.2s","+70d 13m 45.2s","EA","8.7 V","8.6 V","8.456864","","type_ea"
